English,Ukrainian
Baltic Special Funds,Балтійські спеціальні фонди
Baltic Technical Assistance Special Fund,Балтійський спеціальний фонд технічного сприяння
bancassurance,"продаж страхових послуг через банківську мережу; види страхування, надавані банками"
Bangkok Agreement,Бангкокська угода (укладена між ЄБРР і Комісією ЄС у жовтні 1991 року)
Bangkok Facility,"кошти, що надаються ЄБРР Комісією ЄС за Бангкокською угодою (укладена між ЄБРР і Комісією ЄС у жовтні 1991 року)"
bank accommodation,банківська позичка; банківська позика; банківський кредит; кредитна лінія
bank account,банківський рахунок; рахунок у банку
bank balance,залишок на рахунку; сальдо банківського рахунку; залишок за рахунком
bank bill,банківська тратта; банкнота; банківський вексель
bank book,депозитна книжка
bank cash ratio,коефіцієнт ліквідності
bank charge,банківський збір; плата за банківські послуги; банківська комісія; вартість послуг банку
bank charges,тариф на послуги банку
bank cheque,чек банку (прирівнюється до готівки)
bank clearing,банківські взаємозаліки; банківські взаєморозрахунки
bank commission,банківська комісія; плата за банківські послуги; банківський збір
bank currency position,валютна позиція
bank deposit inflation,депозитна інфляція
bank discounting,облік векселя у банку; дисконтування; зведення економічних показників до порівняного за часом виду
bank draft,банківська тратта
bank exposure,банківський ризик (частка кредитів на одного позичальника або на одну категорію позичальників); ненадійна дебіторська заборгованість банків
Bank for International Settlements (BIS),"Банк міжнародних розрахунків (БМР) (організує співробітництво між центральними банками, а також сприяє стандартизації банківських правил, випускаючи рекомендації щодо норм власного капіталу, щодо управління ризиками і щодо похідних фінансових інструментів)"
bank fraud,банківські зловживання
bank guarantee,банківська гарантія
bank holiday,неробочий день; неопераційний день (банків)
bank interest rate,ставка банківського відсотка
bank investments,банківські інвестиції
bank lending,банківське кредитування
bank loan,банківська позика; банківський кредит; банківська позичка
bank money,гроші банківського обороту
bank of issue,банк-емітент; банк-трассант
bank operation,банківська операція; банківська угода
bank operations,банківська діяльність; банківські операції: банківські угоди
bank reference,рекомендація банку; довідка з банку; підтвердження банку (про наявність коштів на рахунку клієнта)
bank reserves,банківські резерви; банківські ресурси: резерви банку
bank review unit (BRU),група банківського контролю (ГБК)
bank run,панічне вилучення банківських вкладів
bank secrecy law,законодавство про таємницю банківських операцій; законодавство про таємницю вкладів
bank statement,виписка з рахунку(повідомлення про перелік операцій із зарахування і списання та залишку коштів на рахунку); виписка із банківського рахунку
bank supervision,банківський нагляд
bank supervisor,керівник наглядової банківськой інстанції; наглядова банківська інстанція; банківська наглядова інстанція; орган банківського нагляду
bank tariff,банківський тариф; тариф на банківські послуги; прейскурант на послуги банку
bank tariff for personal customers,тариф на банківські послуги для населення; прейскурант на послуги банку для фізичних осіб
bank teller,"касир (в банку або ощадній касі); операціоніст, який працює з клієнтами - фізичними особами (в банку)"
bank-to-bank loan,компенсаційний кредит; міжбанківський кредит
bank transfer,банківський переказ
bank transfer request,заява на банківський переказ; платіжне доручення
bank trust,довірчі операції банків
bank wire,телеграфний переказ (банківський)
bankability study,банківська експертиза (проекту)
bankable feasibility study,банківська експертиза (проекту)
bankable paper,першокласний вексель
bankable project,"рентабельний проект; якісний проект; проект, який може фінансуватися банками; перспективний (з погляду фінансування) проект; прийнятний проект (для банківського фінансування); переконливий проект; обгрунтований проект; економічно обгрунтований проект; проект, який відповідає критеріям банківського фінансування; економічно життєздатний проект"
bankassurance,"продаж страхових послуг через банківську мережу; види страхування, надавані банками"
banker,банкір; банківський працівник; банківський службовець; працівник банку; співробітник банку
banker's acceptance,банківський акцепт
bankers’ bank,"банк, що обслуговує банки (який не працює з населенням)"
banker's blanket bond,"поліс страхування банку від кримінальних злочинів (шахрайства, грабежу і т. п.)"
banker's bond,банківська гарантія
banker's cheque,чек банку (прирівнюється до готівки); банківський чек
banker's draft,банківська тратта
banker's duty of secrecy,банківська таємниця; зобов'язання банку щодо збереження таємниці банківських операцій
banker's guarantee .,. банківська гарантія
banker's reference,довідка банку; рекомендація банку; підтвердження банку (про наявність певної суми на рахунку клієнта)
banking,банківська діяльність; банківські операції; банківські послуги; банківська справа
banking adviser,консультант з банківських питань; консультант з банківських операцій; консультант 3 банківської справи
banking book,операційна відомість; банківський портфель; журнал обліку банківських операцій
banking confidentiality,таємниця банківських операцій; таємниця банківських вкладів
banking customs,банківська практика
banking day,"операційний день; робочий банківський день; розрахунковий день; робочий день (на відміну від ""банківського дня"", який часто включає вихідні і святкові дні і тоді рівноцінний календарному)"
banking details,реквізити рахунку; банківські реквізити
banking facility,банківська установа; філіал банку; відділення банку; банк
banking group,фінансова група
banking industry,банківська справа; банки
banking institution,банківська установа; кредитна організація
banking licence,ліцензія на ведення банківскої діяльності; ліцензія на ведення банківських операцій; банківська ліцензія
banking operation,банківська операція; банківська угода
banking operations,банківська діяльність; банківські операції; банківські угоди; банківська справа
banking oversight,банківський нагляд; нагляд за діяльністю банків (функція центрального банку)
banking reform,банківська реформа; реформа банківської системи
banking regulations,регулювання діяльності банків (функція законодавства і центрального банку); регулювання банківської діяльності; регулювання банківської системи; банківське регулювання
banking supervision,банківський нагляд; нагляд за діяльністю банків (функція центрального банку)
banking supervisor,керівник наглядової банківської інстанції; орган банківського нагляду; наглядова банківська інстанція; банківська наглядова інстанція
banking syndicate,банківський консорціум; банківський синдикат
banking system,банківська система
banking union,банківське об'єднання
bankruptcy administration,конкурсне провадження; примусова ліквідація (підприємства-банкрута); управління майном банкрута: управління конкурсною масою
bankruptcy commissioner,"який (що) керує конкурсною масою; ліквідатор; арбітражний керівник; конкурсний керівник; особа, уповноважена на проведення ліквідації підприємства (при банкрутстві)"
bankruptcy creditor,конкурсний кредитор
bankruptcy laws,законодавство про банкрутство; законодавство про неспроможність
bankruptcy notice,заява про визнання банкрутом; заява про визнання неспроможним боржником
bankruptcy petition,порушення справи про неспроможність; порушення справи про банкрутство; заява про порушення справи про неспроможність; клопотання про порушення справи про неспроможність
bankruptcy proceedings,конкурсне провадження; провадження у справах про банкрутство; провадження у справах про неспроможність
bankruptcy trigger procedure,порядок порушення справи про неспроможність; порядок порушення справи про банкрутство
bankrupt's estate,конкурсна маса; майно банкрута
bankwide training programme,програма підвищення кваліфікації працівників банку; програма підготовки банківських службовців; курси банківських працівників
bar chart,план-графік; стовпчикова діаграма; гістограма; блок-схема; графік
bar-code,штрих-код; штриховий код
bar-type progress chart,гістограма ходу здійснення (проекту); діаграма реалізації (проекту)
barbell portfolio,"інвестиційний портфель, який складається із цінних паперів однієї терміновості"
bare board (B/B); bare boat (B/B),"чартер на судно, що зафрахтоване без екіпажу; бербоут-чартер"
barren money,невикористовувані ресурси; бездіяльний капітал; непродуктивний капітал
barter deal,бартерна операція
barter terms of trade,умови бартерної торгівлі
barter trade,бартерна торгівля
base case,консервативний варіант; базовий варіант; основний варіант; основний сценарій
base currency,базова валюта (валюта звітності банку)
base grade,базисний сорт; стандартний сорт
base lending rate,базова кредитна ставка; базова ставка кредиту; базова позикова ставка
base period,базисний період; базовий період
base rate,базова ставка
base stock method,метод базового запасу
base year,базисний рік
baseline conditions,існуючий стан; сучасний стан; стан на момент початку реалізації проекту
baseline scenario,базовий сценарій; консервативний варіант; основний варіант; базовий варіант
baseline study,дослідження сучасного стану; аналіз існуючого стану; базове дослідження
basic banking,набір основних банківських послуг; найпростіші банківські послуги
basic data,вихідні дані
basic documents,основні документи
basic earnings per share,базовий прибуток на акцію
basic infrastructure,основна інфраструктура; основні об'єкти; основна виробнича інфраструктура; основні виробничі потужності; матеріально-технічна база; матеріально-технічні об'єкти
basic public switched telephony,базова  комутаційна система загального користування
basic rate,базова ставка
basic rate of charge,базова ставка відсотка
basic stock,нормативний запас
basis point (bp),"базовий пункт (0,0196)"
basis risk,базовий ризик
basket of currencies,кошик валют
basket unit of account,розрахункова одиниця кошика валют
Basle accord capital ratio [BIS],покриття капіталу за нормою БМР; норматив БМР щодо покриття капіталу
Basle capital accord [BIS],Базельська угода про норму власного капіталу |БМРІ|
Basle Committee on Banking Supervision {BIS],Базельський комітет банківського нагляду |ІБМРІ
Basle Concordat [BIS],"Базельський конкордат (угода керівників центральних банків Групи 10, укладена у 1975 р. і переглянута в 1983 р.) |БМРІ|"
batch production,серійне виробництво; виробництво (продукції) партіями
be on-stream (v.),бути добре налагодженим; бути у дії; бути в експлуатації; діяти (про виробництво)
bear,"спекулянт, що грає на пониження (бірж.)"
bear bond,"облігація, ціна якої може зрости (з огляду на підвищення відсоткових ставок на ринку)"
bear hug,"«ведмежі обійми» (пропозиція дуже високої ціни за контрольний пакет акцій компанії; керівництво компанії іноді не має права відмовлятися, не порушуючи обов'язки діяти в інтересах акціонерів)"
bear market,пониження фондової кон'юнктури
bearer (to ?),на пред'явника
bearer bond,облігація на пред'явника; боргова розписка на пред'явника
bearer cheque,чек на пред'явника
bearer clause,застереження про пред'явника
bearer debt,борг на пред'явника
bearer instrument,документ на пред'явника
bearer passbook,ощадна книжка на пред'явника
bearer security,цінний папір на пред'явника
bearer share,акція на пред'явника
bearish dealer,песимістично налаштований дилер (що чекає падіння цін на біржі)
before hours,до начала робочого дня; до початку банківського дня; до початку торгів (на біржі)
bellwether securities,"«барометри» (цінні папери, що є індикаторами кон'юнктури ринку)"
below-line balance account,позабалансовий рахунок; забалансовий рахунок
below par,"акція, ринкова ціна якої нижча від номінальної"
belt-and-braces budget,щедрий бюджет; кошторис «із запасом»
Beltway bandit [US],"колишній державний службовець, якого наймає приватна компанія для сприяння в одержанні урядових замовлень | США|"
benchmark,контрольний показник; базова ціна; основа порівняння; стандарт; еталон; відправна точка; відмітка; вихідна відмітка; базова відмітка; орієнтир; нижча відмітка; база
benchmark financing,фінансування за базовою ціною
benchmark investment,контрольне капіталовкладення; інвестиціяеталон; еталонна інвестиція; еталонне капіталовкладення;
benchmark method,метод зіставлення
benchmark portfolio,"контрольний портфель активів; стандартний портфель; стандартний портфель цінних паперів; еталонний портфель активів; частина портфеля активів, передана в управління зовнішнім розпорядником (для порівняння результатів роботи свого інвестиційного підрозділу)"
benchmark price,відправна ціна; орієнтовна ціна; вихідна ціна
benchmark study,порівняльне дослідження; вивчення передового досвіду
benchmarking,раціоналізація господарської діяльності із застосуванням досвіду провідних компаній; впровадження найбільш передових методів роботи інших господарських суб'єктів
beneficial association,товариство взаємодопомоги; каса взаємодопомоги
beneficial borrower,кінцевий одержувач позики; реальний одержувач позики
beneficial owner,"реальний власник; фактичний власник; довірчий керівник; вигодонабувач з трасту; власник майна, переданого у довірче управління; справжній власник майна з комерційного погляду"
beneficial ownership,довірче керування
beneficial shareholder,акціонер-бенефіціар; фактичний власник акцій; реальний акціонер; фактичний акціонер
beneficiary,бенефіціар; вигодонабувач
benefit (for its own ?),на власну користь
benefits foregone,втрачена вигода
benefits plan,система надбавок
Berne Union (International Union of Credit and Investment Insurers),Бернський союз (Міжнародний союз страхувальників кредитів та інвестицій)
bespoke banking product,"індивідуальний банківський продукт; банківська послуга, розроблена для конкретного клієнта"
best available price,найвигідніша поточна ціна; найкраща на даний момент ціна
best effort underwriting,розміщення цінних паперів на основі агентського договору (без гарантії розміщення); негарантоване розміщення цінних паперів; агентське розміщення цінних паперів
best efforts,максимальні зусилля для досягнення певної мети; діяльність на основі агентського договору; агентська діяльність; організація агентського розміщення цінних паперів; організація негарантованого розміщення цінних паперів (при розміщенні або синдикації)
best efforts clause,зобов'язання докласти максимальні зусилля для виконання певного договору або умови (без безумовного зобов'язання виконання)
best evidence,первинний доказ; справжній доказ
best industry practice,найбільш передова практика у даній галузі
best management practice,метод оптимального керування
best practice,оптимальний метод; передова практика; зразкова практика
biased estimate,необ'єктивна оцінка
bid,"конкурсна пропозиція; заявка на участь у конкурсі; пропозиція; заявка; ціна, пропонована покупцем; ціна купівлі (яку покупець готовий заплатити)"
bid bond,"заявкова гарантія; завдаток заявника; завдаток, який вноситься заявником (на забезпечення участі у конкурсі)"
bid opening date,дата відкриття торгів; термін відкриття конкурсних пропозицій
bid price,"ціна покупця; ціна, запропонована покупцем"
bid validity,термін дії заявки (на торгах)
bid wanted,потрібні пропозиції на купівлю
bidder,заявник; учасник торгів; учасник конкурсу; кандидат; претендент (здобувач)
bidding and selection process,процес подання і відбору заявок
bidding deadline,крайній термін подання конкурсних пропозицій; остаточний термін подання заявок; останній термін подання заявок; остаточний строк прийняття заявок
bidding documents,тендерна документація; заявкова документація; конкурсна документація
bidding period,термін подання заявок; період подання конкурсних пропозицій
bidding rules,регламент проведення конкурсу; конкурсний регламенг; порядок організації і проведення торгів
bilateral clearing,двосторонній кліринг; взаємозалік
bilateral trade,зустрічна торгівля; двостороння торгівля
bill (v.),виставляти рахунок; подавати рахунок
bill broker,вексельний брокер
bill counterfoil,"прибутковий ордер, що додається до рахунка-фактури; відрізний прибутковий ордер (частина рахунка-фактури)"
bill discounting,облік векселів
bill enforcement,зажадання оплати (рахунка або векселя); судове провадження із стягнення оплати За рахунком
bill for collection (B/C),вексель на інкасо
bill for foreclosure,позов про позбавлення боржника права викупу на заставлене майно (здебільшого нерухомість)
bill guarantee,аваль
bill of exchange,переказний вексель; тратта
bill of lading (b/l),коносамент; транспортна накладна
Bill of Lading Electronic Registry Organization (BOLERO),коносамент у непаперовій формі; електронний коносамент
bill of lading issued to order,ордерний коносамент
bill of quantities,специфікація обсягів робіт
bill of sale,купча
bill under protest,опротестований вексель
billing system,система виставлення рахунків
Bills of Exchange Act [UK],вексельний закон |Англія|; закон про векселі
bills payable (B/p),кредиторська заборгованість; грошові зобов'язання; поточна заборгованість (кредиторам); рахунки до оплати; борги
bills receivable (B/r),дебіторська заборгованість; кошти в розрахунках; права вимоги (за грошовими зобов 'язаннями); поточна заборгованість (дебіторів); рахунки на одержання
binding force,обов'язкова сила
binding obligation,"зобов'язання, що має юридичну силу"
binding receipt,тимчасовий страховий документ (до виписування полісу)
binding reciprocally (be 7?) (v.),мати обов'язкову силу на основі взаємності
biological diversity (biodiversity),біологічна різноманітність; різноманітність форм життя
WRUREICCE AL COUMIMUUL,МеАТОдДо уіррогіавагігл  ССКО0КдОо за ММНОЛОГГІНИмМИ ознаками (для допуску клієнта до рахунку при здійсненні банківських операцій без участі операціоніста); біометричний метод
biosphere reserve,біосферний заповідник (екол.)
black information,несприятлива інформація (про неплатежі); компрометуюча інформація (про неплатежі)
Black Sea Trade and Development Bank (BSTDB),"Чорноморський банк торгівлі та розвитку (ЧБТР) |Салоніки, Греція|"
black spot,екологічно забруднений район; небезпечний район (екол.)
blank bill,бланко-вексель
blank check preferred stock,"привілейовані акції, умови яких встановлюються правлінням (а не акціонерами) ІСША|"
blank credit,бланковий кредит
blank endorsement,індосамент на подавця; бланковий  передавальний напис
blanket bond,"облігація, що забезпечується всім майном емітента; облігація із заставою всього майна боржника"
blanket inventory lien,право арешту всього майна (у разі несплати боргу)
blanket policy,блок-поліс (страх.)
blanket rate,єдиний тариф; єдина ставка
blended finance,комбіноване фінансування; змішане фінансування
blended interest rate,змішана відсоткова ставка (пільгово-комерційна)
blind brokering,анонімна торгівля цінними паперами (брокер виступає в якості принципала)
blind carbon copies (bec),"копії, не включені в розсилання (реквізит документа); додаткове розсилання (відсутній на оригіналі документа список осіб, яким направляються його копії; документ друкується на окремому аркуші)"
blind trust,передача майна у довірче управління для уникнення колізії інтересів
block movement,рух пакетів акцій; рух партій акцій; рух пакетів цінних паперів; рух партій цінних паперів
block of securities,велика партія цінних паперів; пакет цінних паперів
block of shares,пакет акцій
block trading,операції з великими партіями цінних паперів; угоди з великими пакетами акцій
blocked account,блокований рахунок; заморожений рахунок; арештований рахунок; арешт на вклад; рахунок з обмеженим (за умовою) правом зняття або переказу коштів
blocked balance,блокований рахунок; заморожений рахунок; арештований рахунок
blocked currency trading,операції з неконвертованими валютами
blocked funds,блоковані авуари; заморожені авуари; арештований капітал
blocked period,"термін обмеження права власника розпоряджатися цінними паперами (акціями, що належать директорам або працівникам підприємств та ін.)"
blocked security,"цінний папір (акція або облігація), який не підлягає відчуженню до певного терміну; втрачений (загублений або вкрадений) цінний папір, на продаж якого накладено заборону"
blocking minority ownership,"блокуючий пакет акцій; пакет акцій, що надає право вето (але не є контрольним)"
blocking minority shareholding,субконтрольний пакет акцій з правом вето
blue-chip borrower,першокласний позичальник
blue-chip company,провідна компанія (що користується довірою інвесторів); першокласна компанія; «голуба фішка» (розм.)
blue-chip issues,високодоходні акції першокласних компаній; першокласні фондові папери; випуски першокласних цінних паперів; фондові папери провідних компаній; фондові цінності «голубих фішок» (розм.)
blue-chip security,цінний папір рейтингу ААА; першокласний цінний папір; фондові цінності «голубих фішок» (розм.)
blue-sky law,"закон, що регулює обіг цінних паперів"
blue-skying,правове очищення
Bluetooth; Bluetooth chip; Bluetooth radio chip,комунікаційний протокол «блутус» (забезпечує бездротове поєднання різноманітних пристроїв); радіо-чіп (забезпечує бездротовий вихід на різні мережі на малих відстанях)
board,правління; рада директорів; керівництво (компанії); адміністрація (підприємства)
board approval,затвердження (великої угоди) правлінням компанії; схвалення (проекту) радою директорів
board approval fee,"комісія за утвердження радою директорів (кредиту, проекту)"
board approved operation,"операція, схвалена радою директорів; проект, затверджений радою директорів; угода, затверджена правлінням компанії"
board of directors (BOD),рада директорів; правління; адміністрація
board of governors,рада керівників (представників акціонерів)
board package (BP),документація для ради директорів; документи до засідання ради директорів; підбір документів для подання правлінню (для схвалення великої угоди)
board secretariat,секретаріат ради директорів
boardroom,зал засідань ради директорів; адміністрація; рада директорів; керівництво компанії; правління
boardroom pay,заробітна плата адміністрації (підприємства); заробітна плата керівництва компанії; винагорода членів ради директорів
body corporate,юридична особа
body of laws,система права
boilerplate,стандартні формулювання; стандартні умови; ординарні умови
boilerplate clause,стандартне формулювання; стандартне положення; стандартне застереження; типове положення; стандартна умова (у договорі)
boilerplate finance,фінансування на звичайних умовах; стандартні умови фінансування
bona fide holder for value,"сумлінний утримувач документа, який виявив потрібне зустрічне задоволення; сумлінний власник; сумлінний покупець, що придбав майно"
bona fide purchaser,сумлінний покупець
bona fide purchaser for value and without notice,"сумлінний покупець, який оплатно придбав майно і не знав про права інших осіб на нього; сумлінний утримувач документа, який виявив потрібне зустрічне задоволення і не знав про права інших осіб на майно"
bona fide selling price,реальна ціна продажу; фактична ціна продажу
bond,облігація; борговой інструмент; гарантійний фонд; боргове зобов'язання; митне зобов'язання; застава
bond and preferred stock fund,фонд облігацій і привілейованих акцій
bond anticipation note (BAN),короткотермінове муніципальне боргове з30бов'язання (погашається при випуску довготермінових муніципальних облігацій)
bond broker,облігаційний брокер
bond certificate,облігаційний сертифікат; сертифікат на облігацію; сертифікат на облігації
bond flotation,випуск облігацій; емісія облігацій
bond fund,"пайовий фонд, що інвестує кошти головним чином у боргові зобов'язання із фіксованим терміном погашення"
bond holder,утримувач облігацій; облігаціонер; власник облігацій
bond issue,випуск облігацій; облігаційна позика
bond market,ринок облігацій; ринок боргових зобов'язань; ринок облігацій з фіксованою ставкою; ринок довготермінового позичкового капіталу
bond member,облігаційний брокер
bond note,гарантійне свідоцтво; дозвіл митниці на вивіз вантажу (без сплати мита) з митного складу
bond offering,розміщення облігацій; випуск облігацій
bond placement,розміщення облігацій
bond price,ціна облігації
bond quotation,котирування облігації; ціна облігацій (яку править продавець)
bond rating,рейтинг облігації (присвоюється рейтинговим агентством)
bond resolution,угода про емісію облігацій; облігаційна угода
bond retirement,погашення облігацій; викуплення облігацій
bond switch,ротація портфеля облігацій; продаж одних цінних паперів з одночасним придбанням інших
bond trading,угоди з облігаціями; торгівля облігаціями; біржові операції з облігаціями
bond yield,дохід на облігацію
bonded goods (B/G),"вантаж, що знаходиться на складі митниці; вантаж, що не пройшов митного очищення; нерозмитнений вантаж; митні товари; бондові товари"
bonded warehouse (B.W.),митний склад; приписний митний склад; бондовий склад; приписний склад (не митний)
bonding company,"компанія, що страхує відповідальність керівництва банків"
bonification share,"акція, яку використовують у вигляді гарантії або забезпечення"
bonus,премія (як частина оплати праці)
bonus in kind,речова премія
bonus issue,емісія безплатних акцій
bonus scheme,преміальна система
bonus share,безплатна акція
book account,поточний рахунок
book commitment,балансове зобов'язання
book debt,заборгованість щодо книг; борг до одержання; право вимоги щодо грошового зобов'язання; дебіторська заборгованість
book-entry bond,балансова облігація
book-entry security,безбланковий цінний папір; бездокументарний цінний папір
book-entry settlement system,система бездокументарного обліку прав власності на цінні папери
book loss,обліковий збиток
book price,облікова ціна
book profit,обліковий прибуток
book value,балансова вартість активів; залишкова вартість; книжна вартість активів
bookbuilding,добір учасників (синдикації); визначення можливих учасників (синдикації); збір заявок на придбання цінних паперів; збір і реєстрація заявок на придбання випуску цінних паперів; набір портфеля замовлень
bookkeeping,бухгалтерський облік; ведення бухгалтерського обліку; бухгалтерія; ведення фінансової звітності; рахівництво; ведення облікових реєстрів
bookkeeping entry,бухгалтерський запис; проводка (бухг.)
bookrunner,організатор консорціуму (з випуску та розміщення цінних паперів); організатор синдикату (з випуску та розміщення цінних паперів); реєстратор (функція у синдикаті щодо випуску та разміщення цінних паперів)
border price,міжнародна ціна; ціна франко-межа
borrowed capital,залучений (шляхом запозичення) капітал; позиковий капітал
borrowed funds,позикові кошти; залучені кошти
borrowed money,позикові кошти; залучені кошти
borrower,позичальник
borrower of record,офіційний позичальник; номінальний позичальник; головний позичальник; зареєстрований позичальник; формальний позичальник; підставний позичальник (рідко); фіктивний позичальник (рідко)
borrower's authorised representative,уповноважений представник позичальника
borrower's status,кредитоспроможність позичальника; статус позичальника (який відбивається на його кредитоспроможності)
borrowing authority,доручення на право підписання документів; повноваження на провадження запозичень; доручення з правом підпису
